,Mouse ID,Timepoint,Tumor Volume (mm3),Metastatic Sites,Drug Regimen,Sex,Age_months,Weight (g)
0,b128,0,45.0,0,Capomulin,Female,9,22
1,b128,5,45.65133131,0,Capomulin,Female,9,22
2,b128,10,43.2708519,0,Capomulin,Female,9,22
3,b128,15,43.78489343,0,Capomulin,Female,9,22
4,b128,20,42.731552,0,Capomulin,Female,9,22
5,b128,25,43.26214483,1,Capomulin,Female,9,22
6,b128,30,40.60533486,1,Capomulin,Female,9,22
7,b128,35,37.96764437,1,Capomulin,Female,9,22
8,b128,40,38.3797259,2,Capomulin,Female,9,22
9,b128,45,38.98287774,2,Capomulin,Female,9,22
213,c326,0,45.0,0,Infubinol,Female,18,25
214,c326,5,36.3213458,0,Infubinol,Female,18,25
215,c139,0,45.0,0,Infubinol,Male,11,28
216,c139,5,48.75311208,0,Infubinol,Male,11,28
217,c139,10,49.99295391,0,Infubinol,Male,11,28
218,c139,15,51.8332246,0,Infubinol,Male,11,28
219,c139,20,56.74200681,0,Infubinol,Male,11,28
220,c139,25,61.46196976,0,Infubinol,Male,11,28
221,c139,30,64.14987077,1,Infubinol,Male,11,28
222,c139,35,67.82141969,1,Infubinol,Male,11,28
223,c139,40,69.42814095,2,Infubinol,Male,11,28
224,c139,45,72.2267309,2,Infubinol,Male,11,28
225,v339,0,45.0,0,Infubinol,Male,20,26
226,v339,5,46.25011212,0,Infubinol,Male,20,26
227,a577,0,45.0,0,Infubinol,Female,6,25
228,a577,5,46.1977199,1,Infubinol,Female,6,25
229,a577,10,49.5096389,1,Infubinol,Female,6,25
230,a577,15,50.91500662,2,Infubinol,Female,6,25
231,a577,20,52.36518457,2,Infubinol,Female,6,25
232,a577,25,54.38093154,2,Infubinol,Female,6,25
233,a577,30,57.03186187,2,Infubinol,Female,6,25
234,y163,0,45.0,0,Infubinol,Female,17,27
235,y163,5,48.28497016,0,Infubinol,Female,17,27
236,y163,10,49.1123991,1,Infubinol,Female,17,27
237,y163,15,51.52306843,1,Infubinol,Female,17,27
238,y163,20,54.57107607,1,Infubinol,Female,17,27
239,y163,25,56.17638452,1,Infubinol,Female,17,27
240,y163,30,59.41253724,2,Infubinol,Female,17,27
241,y163,35,61.73019562,2,Infubinol,Female,17,27
242,y163,40,63.62067958,2,Infubinol,Female,17,27
243,y163,45,67.68556862,3,Infubinol,Female,17,27
244,k483,0,45.0,0,Infubinol,Female,20,30
245,k483,5,46.61105571,0,Infubinol,Female,20,30
246,k483,10,50.29604123,1,Infubinol,Female,20,30
247,k483,15,53.24445813,1,Infubinol,Female,20,30
248,k483,20,54.77896052,1,Infubinol,Female,20,30
249,k483,25,57.43200731,2,Infubinol,Female,20,30
250,k483,30,59.74707708,2,Infubinol,Female,20,30
251,k483,35,60.54156159,2,Infubinol,Female,20,30
252,k483,40,64.13872489,3,Infubinol,Female,20,30
253,k483,45,66.19691151,3,Infubinol,Female,20,30
254,k804,0,45.0,0,Infubinol,Female,23,29
255,k804,5,48.26620364,0,Infubinol,Female,23,29
256,k804,10,49.47124419,0,Infubinol,Female,23,29
257,k804,15,50.47761824,0,Infubinol,Female,23,29
258,k804,20,54.48451945,0,Infubinol,Female,23,29
259,k804,25,55.67480798,1,Infubinol,Female,23,29
260,k804,30,59.24061511,2,Infubinol,Female,23,29
261,k804,35,62.11727887,2,Infubinol,Female,23,29
262,o809,0,45.0,0,Infubinol,Male,3,25
263,o809,5,46.87724316,0,Infubinol,Male,3,25
264,o809,10,48.6707318,0,Infubinol,Male,3,25
265,o809,15,49.68344504,1,Infubinol,Male,3,25
266,o809,20,50.33655288,1,Infubinol,Male,3,25
267,o809,25,52.31817407,1,Infubinol,Male,3,25
268,o809,30,54.8326288,1,Infubinol,Male,3,25
269,o809,35,55.62942846,1,Infubinol,Male,3,25
270,z581,0,45.0,0,Infubinol,Female,24,25
271,z581,5,49.27309187,1,Infubinol,Female,24,25
272,z581,10,50.47875016,2,Infubinol,Female,24,25
273,z581,15,51.1963042,2,Infubinol,Female,24,25
274,z581,20,51.80794416,2,Infubinol,Female,24,25
275,z581,25,54.31640682,2,Infubinol,Female,24,25
276,z581,30,56.28674991,2,Infubinol,Female,24,25
277,z581,35,58.62839878,3,Infubinol,Female,24,25
278,z581,40,60.05373963,3,Infubinol,Female,24,25
279,z581,45,62.75445141,3,Infubinol,Female,24,25
280,a251,0,45.0,0,Infubinol,Female,21,25
281,a251,5,46.98212719,0,Infubinol,Female,21,25
282,a251,10,48.59117901,1,Infubinol,Female,21,25
283,a251,15,50.53445603,1,Infubinol,Female,21,25
284,a251,20,54.46259376,1,Infubinol,Female,21,25
285,a251,25,57.4146457,1,Infubinol,Female,21,25
286,a251,30,59.86124129,1,Infubinol,Female,21,25
287,a251,35,60.90388455,1,Infubinol,Female,21,25
288,a251,40,63.09507565,1,Infubinol,Female,21,25
289,a251,45,65.52574285,1,Infubinol,Female,21,25
290,i386,0,45.0,0,Infubinol,Female,23,29
291,i386,5,46.85369669,1,Infubinol,Female,23,29
292,i386,10,49.86154739,2,Infubinol,Female,23,29
293,i386,15,51.73656088,2,Infubinol,Female,23,29
294,i386,20,55.08772445,2,Infubinol,Female,23,29
295,i386,25,56.68786392,3,Infubinol,Female,23,29
296,i386,30,59.13364029,3,Infubinol,Female,23,29
297,i386,35,64.92542037,3,Infubinol,Female,23,29
298,i386,40,67.28962147,4,Infubinol,Female,23,29
306,q132,0,45.0,0,Infubinol,Female,1,30
307,q132,5,46.7163985,1,Infubinol,Female,1,30
308,q132,10,47.95384377,2,Infubinol,Female,1,30
309,q132,15,49.15974862,3,Infubinol,Female,1,30
310,q132,20,51.90902494,4,Infubinol,Female,1,30
311,q132,25,52.7804893,4,Infubinol,Female,1,30
312,q132,30,54.65654872,4,Infubinol,Female,1,30
436,c458,0,45.0,0,Ramicane,Female,23,20
437,c458,5,45.72227949,0,Ramicane,Female,23,20
438,c458,10,44.45437828,1,Ramicane,Female,23,20
439,c458,15,45.10742313,2,Ramicane,Female,23,20
440,c458,20,39.50513508,2,Ramicane,Female,23,20
