Drug Regimen,Mouse ID,Timepoint
Capomulin,b128,45
Capomulin,b742,45
Capomulin,f966,20
Capomulin,g288,45
Capomulin,g316,45
Capomulin,i557,45
Capomulin,i738,45
Capomulin,j119,45
Capomulin,j246,35
Capomulin,l509,45
Capomulin,l897,45
Capomulin,m601,45
Capomulin,m957,45
Capomulin,r157,15
Capomulin,r554,45
Capomulin,r944,45
Capomulin,s185,45
Capomulin,s710,45
Capomulin,t565,45
Capomulin,u364,45
Capomulin,v923,45
Capomulin,w150,10
Capomulin,w914,45
Capomulin,x401,45
Capomulin,y793,45
Ceftamin,a275,45
Ceftamin,b447,0
Ceftamin,b487,25
Ceftamin,b759,30
Ceftamin,f436,15
Ceftamin,h531,5
Ceftamin,j296,45
Ceftamin,k210,45
Ceftamin,l471,45
Ceftamin,l490,30
Ceftamin,l558,10
Ceftamin,l661,45
Ceftamin,l733,45
Ceftamin,o287,45
Ceftamin,p438,45
Ceftamin,q483,40
Ceftamin,t573,0
Ceftamin,u149,25
Ceftamin,u153,0
Ceftamin,w151,45
Ceftamin,x226,0
Ceftamin,x581,45
Ceftamin,x822,45
Ceftamin,y769,45
Ceftamin,y865,45
Infubinol,a203,45
Infubinol,a251,45
Infubinol,a577,30
Infubinol,a685,45
Infubinol,c139,45
Infubinol,c326,5
Infubinol,c895,30
Infubinol,e476,45
Infubinol,f345,45
Infubinol,i386,40
Infubinol,k483,45
Infubinol,k804,35
Infubinol,m756,5
Infubinol,n671,30
Infubinol,o809,35
Infubinol,o813,5
Infubinol,q132,30
Infubinol,s121,25
Infubinol,v339,5
Infubinol,v719,20
Infubinol,v766,15
Infubinol,w193,20
Infubinol,w584,30
Infubinol,y163,45
Infubinol,z581,45
Ramicane,a411,45
Ramicane,a444,45
Ramicane,a520,45
Ramicane,a644,45
Ramicane,c458,30
Ramicane,c758,45
Ramicane,d251,45
Ramicane,e662,45
Ramicane,g791,45
Ramicane,i177,45
Ramicane,i334,45
Ramicane,j913,45
Ramicane,j989,45
Ramicane,k403,45
Ramicane,m546,45
Ramicane,n364,45
Ramicane,q597,45
Ramicane,q610,35
Ramicane,r811,45
Ramicane,r921,30
Ramicane,s508,45
Ramicane,u196,45
Ramicane,w678,5
Ramicane,y449,15
Ramicane,z578,45
